Id, Label
1, 0
2, 0
3, 1
4, 1
5, 0
6, 1
7, 1
8, 1
9, 1
10, 1
11, 0
12, 0
13, 0
14, 0
15, 1
16, 1
17, 1
18, 1
19, 1
20, 1
21, 1
22, 0
23, 1
24, 1
25, 1
26, 0
27, 0
28, 1
29, 1
30, 1
31, 0
32, 1
33, 0
34, 1
35, 0
36, 0
37, 0
38, 0
39, 1
40, 1
41, 0
42, 1
43, 1
44, 1
45, 0
46, 0
47, 1
48, 1
49, 0
50, 0
51, 1
52, 1
53, 0
54, 0
55, 1
56, 1
57, 1
58, 0
59, 1
60, 1
61, 1
62, 1
63, 1
64, 0
65, 0
66, 1
67, 0
68, 1
69, 1
70, 1
71, 0
72, 0
73, 0
74, 0
75, 1
76, 0
77, 0
78, 1
79, 1
80, 1
81, 0
82, 0
83, 1
84, 0
85, 0
86, 1
87, 0
88, 0
89, 1
90, 1
91, 0
92, 0
93, 1
94, 1
95, 0
96, 1
97, 1
98, 1
99, 1
100, 1
101, 0
102, 1
103, 1
104, 0
105, 0
106, 1
107, 1
108, 1
109, 0
110, 0
111, 0
112, 1
113, 0
114, 1
115, 0
116, 0
117, 1
118, 0
119, 1
120, 1
121, 0
122, 1
123, 1
124, 0
125, 1
126, 0
127, 0
128, 1
129, 0
130, 0
131, 1
132, 1
133, 0
134, 1
135, 1
136, 0
137, 1
138, 1
139, 1
140, 1
141, 0
142, 1
143, 0
144, 1
145, 0
146, 0
147, 0
148, 0
149, 1
150, 1
151, 1
152, 1
153, 0
154, 0
155, 0
156, 0
157, 1
158, 1
159, 0
160, 0
161, 1
162, 1
163, 1
164, 1
165, 1
166, 0
167, 1
168, 1
169, 1
170, 1
171, 0
172, 0
173, 1
174, 1
175, 1
176, 0
177, 1
178, 1
179, 1
180, 1
181, 0
182, 1
183, 0
184, 1
185, 0
186, 1
187, 1
188, 1
189, 0
190, 1
191, 0
192, 1
193, 1
194, 1
195, 0
196, 0
197, 0
198, 1
199, 0
200, 1
201, 0
202, 1
203, 1
204, 0
205, 0
206, 0
207, 1
208, 1
209, 1
210, 0
211, 1
212, 1
213, 1
214, 1
215, 0
216, 1
217, 1
218, 0
219, 1
220, 1
221, 1
222, 1
223, 0
224, 1
225, 0
226, 1
227, 0
228, 1
229, 0
230, 1
231, 0
232, 1
233, 0
234, 0
235, 0
236, 1
237, 1
238, 1
239, 1
240, 1
241, 0
242, 1
243, 1
244, 0
245, 0
246, 0
247, 0
248, 1
249, 0
250, 0
251, 0
252, 0
253, 1
254, 0
255, 0
256, 1
257, 0
258, 1
259, 0
260, 0
261, 1
262, 0
263, 1
264, 1
265, 1
266, 1
267, 1
268, 0
269, 1
270, 1
271, 0
272, 1
273, 1
274, 1
275, 1
276, 0
277, 0
278, 0
279, 1
280, 0
281, 1
282, 1
283, 0
284, 1
285, 1
286, 1
287, 1
288, 0
289, 0
290, 1
291, 1
292, 0
293, 1
294, 1
295, 1
296, 0
297, 0
298, 0
299, 0
300, 1
301, 0
302, 0
303, 1
304, 0
305, 1
306, 1
307, 1
308, 1
309, 1
310, 1
311, 1
312, 0
313, 1
314, 0
315, 0
316, 1
317, 1
318, 0
319, 1
320, 1
321, 1
322, 1
323, 0
324, 0
325, 1
326, 0
327, 0
328, 1
329, 1
330, 1
331, 1
332, 1
333, 1
334, 1
335, 0
336, 1
337, 1
338, 1
339, 0
340, 1
341, 1
342, 1
343, 1
344, 1
345, 1
346, 1
347, 1
348, 0
349, 0
350, 0
351, 0
352, 1
353, 1
354, 1
355, 0
356, 1
357, 1
358, 0
359, 1
360, 1
361, 1
362, 1
363, 0
364, 0
365, 1
366, 1
367, 1
368, 1
369, 1
370, 1
371, 1
372, 1
373, 1
374, 1
375, 1
376, 0
377, 1
378, 1
379, 0
380, 1
381, 1
382, 1
383, 1
384, 0
385, 1
386, 1
387, 1
388, 1
389, 0
390, 1
391, 0
392, 0
393, 1
394, 1
395, 0
396, 0
397, 0
398, 0
399, 1
400, 0
401, 0
402, 0
403, 1
404, 1
405, 0
406, 0
407, 1
408, 0
409, 1
410, 1
411, 1
412, 0
413, 1
414, 1
415, 1
416, 0
417, 0
418, 0
419, 1
420, 1
421, 0
422, 1
423, 0
424, 1
425, 0
426, 1
427, 1
428, 0
429, 0
430, 1
431, 0
432, 1
433, 1
434, 1
435, 0
436, 1
437, 0
438, 1
439, 0
440, 0
441, 0
442, 0
443, 1
444, 1
445, 0
446, 1
447, 1
448, 0
449, 1
450, 1
451, 0
452, 1
453, 0
454, 0
455, 1
456, 0
457, 1
458, 1
459, 0
460, 0
461, 1
462, 1
463, 0
464, 0
